id,name,brand,family,top_notes,middle_notes,base_notes,mood_tags,valence,arousal,dominance,source
0,Chanel No. 5,Chanel,floral_aldehyde,"bergamot,neroli,ylang_ylang","rose,jasmine,iris","sandalwood,vetiver,vanilla,white_musk","iconic,elegant,feminine,timeless,classic",0.724,0.426,0.496,curated
1,Chanel No. 19,Chanel,green_floral,"galbanum,bergamot,neroli","rose,iris,jasmine,lily_of_the_valley","sandalwood,oakmoss,vetiver,civet","green,powdery,classic,feminine,sophisticated",0.688,0.437,0.533,curated
2,Chanel Coco,Chanel,oriental_spicy,"mandarin,bergamot,honey,coriander","rose,jasmine,clove,cinnamon,clove","sandalwood,vetiver,civet,amber,vanilla","opulent,spicy,oriental,feminine,warm",0.695,0.487,0.537,curated
3,Chanel Coco Mademoiselle,Chanel,oriental_floral,"orange,bergamot,mandarin,grapefruit","rose,jasmine,ylang_ylang","patchouli,vanilla,vetiver,white_musk","youthful,confident,fresh,chic,modern",0.731,0.525,0.475,curated
4,Chanel Chance,Chanel,floral,"pink_pepper,pineapple,grapefruit,hyacinth","jasmine,iris,rose","amber,patchouli,vetiver,white_musk","fresh,youthful,spontaneous,feminine,modern",0.657,0.466,0.543,curated
5,Chanel Chance Eau Tendre,Chanel,floral_fruity,"grapefruit,quince,pink_pepper","jasmine,hyacinth","amber,white_musk,iris,cedar","delicate,tender,fresh,young,feminine",0.694,0.487,0.513,curated
6,Chanel Chance Eau Fraiche,Chanel,floral_woody,"citron,water_hyacinth,pink_pepper","jasmine,iris","teak,white_musk,cedar,amber","aquatic,fresh,modern,clean,feminine",0.673,0.435,0.545,curated
7,Chanel Allure,Chanel,floral,"mandarin,pink_pepper,orange,aldehydes","peach,magnolia,rose,jasmine,lily_of_the_valley","vanilla,sandalwood,vetiver,amber","elegant,timeless,sophisticated,feminine",0.736,0.471,0.483,curated
8,Chanel Allure Homme,Chanel,aromatic_fougere,"lemon,bergamot,mandarin,aldehydes","iris,nutmeg,star_anise,rose","vanilla,tonka_bean,sandalwood,vetiver","elegant,masculine,classic,fresh",0.757,0.461,0.448,curated
9,Chanel Allure Homme Sport,Chanel,aromatic_aquatic,"mandarin,lemon,bergamot,grapefruit","sea_notes,geranium,pepper,elemi","amberwood,tonka_bean,white_musk,cedar","sporty,fresh,energetic,masculine",0.77,0.562,0.413,curated
10,Chanel Bleu de Chanel,Chanel,aromatic_woody,"lemon,mint,pink_pepper,grapefruit","ginger,nutmeg,jasmine,iso_e_super","sandalwood,patchouli,vetiver,cedar","modern,masculine,refined,French",0.637,0.581,0.533,curated
11,Chanel Egoiste,Chanel,woody_aromatic,"rosewood,coriander,bergamot","rose,jasmine,carnation,geranium","sandalwood,vetiver,amber,civet","masculine,bold,controversial,iconic,classic",0.689,0.444,0.55,curated
12,Chanel Pour Monsieur,Chanel,aromatic_fougere,"lemon,neroli,bergamot","cardamom,nutmeg,geranium","oakmoss,vetiver,sandalwood,amber","classic,gentleman,refined,timeless",0.669,0.504,0.523,curated
13,Chanel Sycomore,Chanel,woody_aromatic,"grapefruit,juniper,nutmeg,pepper,bergamot","vetiver,cypress","sandalwood,cedar,white_musk,vetiver","austere,smoky,woody,exclusive",0.637,0.45,0.51,curated
14,Chanel Jersey,Chanel,floral_musky,"lavender,bergamot,neroli","rose,jasmine,iris","white_musk,vanilla,sandalwood","soft,powdery,delicate,exclusive",0.761,0.424,0.466,curated
15,Dior Sauvage,Dior,fresh_spicy,"bergamot,pink_pepper","geranium,lavender,saffron","ambroxan,cedar,vetiver","bold,masculine,wild,magnetic,bestseller",0.61,0.53,0.593,curated
16,Dior Sauvage Elixir,Dior,spicy_woody,"grapefruit,cardamom,nutmeg","lavender,sandalwood","hawthorn,amber,licorice,vanilla","intense,dark,warm,powerful,masculine",0.718,0.464,0.466,curated
17,Dior Sauvage Parfum,Dior,woody_spicy,bergamot,"sandalwood,lavender","frankincense,ambroxan,cedar","raw,powerful,masculine,dark,bold",0.628,0.422,0.594,curated
18,Dior Miss Dior,Dior,floral_chypre,"bergamot,pink_pepper,blood_orange","rose,peony,lily_of_the_valley","sandalwood,white_musk,patchouli","fresh,romantic,feminine,spring,classic",0.701,0.471,0.497,curated
19,Dior Miss Dior Blooming Bouquet,Dior,floral,"mandarin,peony,pink_pepper","peony,rose","white_musk,sandalwood","light,feminine,delicate,floral,spring",0.757,0.471,0.473,curated
20,Dior Poison,Dior,oriental_floral,"plum,wild_berries,cinnamon","tuberose,rose,jasmine,carnation,lily","sandalwood,amber,vetiver,oakmoss,civet","dark,seductive,daring,iconic,bold",0.63,0.43,0.615,curated
21,Dior Hypnotic Poison,Dior,oriental_gourmand,"coconut,apricot,plum,bergamot,bitter_almond","jasmine,rose,cinnamon,rosewood","vanilla,musk,sandalwood,cedar","sensual,addictive,sweet,dark,nocturnal",0.746,0.461,0.488,curated
22,Dior Fahrenheit,Dior,woody_floral_musk,"lavender,mandarin,hawthorn,bergamot","violet,lily_of_the_valley,geranium","leather,vetiver,sandalwood,amber","daring,unconventional,masculine,iconic",0.668,0.477,0.527,curated
23,Dior Homme,Dior,aromatic_fougere,"iris,lavender,bergamot","iris,ambrette,vetiver","amber,vetiver,leather","iris,sophisticated,masculine,elegant",0.594,0.427,0.597,curated
24,Dior Homme Intense,Dior,oriental_woody,lavender,"iris,ambrette","vetiver,cedar,amber","masculine,iris,elegant,intense,seductive",0.593,0.337,0.593,curated
